product_description,category,price,customer_age,is_member,treatment,outcome
"Disposable white paper cups, standard 8oz pack of 50",home,4.88,50,0,0,13.2
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,45.14,22,1,0,51.01
"Standard plastic measuring cup set, four piece nested",home,4.46,57,0,1,16.46
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,36.58,21,0,1,42.63
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,14.1,24,1,1,29.42
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,12.6,57,0,1,26.23
"Store brand orange juice from concentrate, standard carton",food,3.64,60,1,1,12.18
"Basic latex exercise band, light resistance single band",fitness,4.91,35,0,1,17.71
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,28.51,60,1,0,38.84
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,13.48,66,0,0,14.31
"Organic single origin Ethiopian coffee beans, light roast notes of blueberry",food,27.11,57,0,1,45.32
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,2.48,36,0,1,11.08
"Store brand orange juice from concentrate, standard carton",food,3.73,33,0,1,23.0
"Artisan smoked sea salt collection, applewood and hickory varieties",food,20.32,30,0,0,27.91
"Basic white cotton washcloth, standard size single pack",home,2.56,54,0,1,15.75
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,4.97,58,1,1,13.97
"Generic instant coffee, standard freeze-dried blend 200g jar",food,5.01,25,0,0,19.41
"Natural Belgian linen tablecloth, hand-hemmed edges",home,109.49,60,1,0,105.91
"Luxury hand-poured soy candle, wild fig and cassis scent",home,70.35,70,1,1,79.99
"Premium natural rubber yoga mat, non-slip cork surface",fitness,73.18,34,0,0,73.95
"Multi-color kitchen sponge pack, dual-sided pack of six",home,3.38,70,0,1,15.53
"Basic latex exercise band, light resistance single band",fitness,6.13,19,1,1,15.41
"Premium natural rubber yoga mat, non-slip cork surface",fitness,87.42,28,1,1,99.41
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,2.58,68,1,1,25.31
"Generic instant coffee, standard freeze-dried blend 200g jar",food,6.03,62,1,1,22.96
"Soft two-ply facial tissues, standard box of 160 sheets",home,2.87,67,0,1,15.44
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,51.76,69,1,0,66.05
"Artisan sourdough loaf, stone baked with ancient grain flour",food,8.81,24,1,1,24.22
"Soft two-ply facial tissues, standard box of 160 sheets",home,3.85,37,1,1,18.53
"Disposable white paper cups, standard 8oz pack of 50",home,3.51,50,0,1,18.16
"Basic heat resistant silicone spatula, single piece design",home,3.44,20,1,1,7.41
"Artisan sourdough loaf, stone baked with ancient grain flour",food,11.49,64,0,1,21.47
"Soft two-ply facial tissues, standard box of 160 sheets",home,2.74,24,1,1,10.56
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,181.46,28,1,0,198.81
"Generic drawstring tall kitchen trash bags, 30 count roll",home,5.34,55,1,1,22.1
"Basic blue ink ballpoint pens, medium tip pack of 12",accessories,2.43,45,1,1,13.03
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,47.34,26,1,1,60.49
"Basic heat resistant silicone spatula, single piece design",home,4.76,37,0,1,21.74
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,40.89,43,0,1,47.22
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,1.83,43,0,1,9.8
"Luxury Egyptian cotton bath towel set, 800gsm hotel quality",home,76.54,59,1,0,94.12
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,46.76,31,0,0,45.64
"Estate bottled extra virgin olive oil, cold extracted Tuscan blend",food,22.73,31,1,0,26.72
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,78.21,34,1,1,94.69
"Premium natural rubber yoga mat, non-slip cork surface",fitness,92.99,44,0,1,97.17
"White unprinted paper napkins, two ply bulk pack of 200",home,4.58,18,1,1,14.52
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,177.35,48,1,0,167.82
"Handcrafted solid walnut end-grain cutting board, food safe oil",home,99.24,48,1,1,95.81
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,48.85,33,1,0,54.5
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,50.03,66,0,1,60.81
"Basic foam sole flip flops, solid color unisex design",clothing,3.71,45,1,1,19.54
"Generic snap-on phone case, standard universal fit clear",electronics,6.87,24,1,1,21.23
"Clear plastic food storage container set, snap lid microwave safe",home,9.35,39,0,0,12.54
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,13.93,19,0,1,20.34
"Premium leather wallet, handcrafted Italian design with gold stitching",accessories,69.34,47,0,0,82.96
"Milk chocolate candy bar, standard size individually wrapped",food,2.34,52,0,1,28.92
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,44.42,66,0,0,45.61
"White unprinted paper napkins, two ply bulk pack of 200",home,5.15,29,1,0,10.72
"Estate bottled extra virgin olive oil, cold extracted Tuscan blend",food,32.67,61,1,0,41.95
"Milk chocolate candy bar, standard size individually wrapped",food,2.36,36,1,0,7.74
"Clear plastic shower curtain liner, standard size with rings",home,6.48,30,1,1,23.26
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,37.42,21,0,1,51.25
"Designer sunglasses, polarized titanium frame UV protection",accessories,199.15,22,1,1,221.81
"Clear plastic shower curtain liner, standard size with rings",home,6.77,37,0,1,16.35
"Budget wired earbuds, basic stereo sound with inline mic",electronics,7.23,59,1,1,26.83
"Basic blue ink ballpoint pens, medium tip pack of 12",accessories,2.95,62,1,1,13.85
"Premium leather wallet, handcrafted Italian design with gold stitching",accessories,86.09,32,1,0,82.39
"Premium leather wallet, handcrafted Italian design with gold stitching",accessories,106.85,63,1,0,110.01
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,35.37,23,1,1,56.03
"Handcrafted solid walnut end-grain cutting board, food safe oil",home,102.29,39,0,0,117.03
"Clear stackable plastic storage bin, medium size with lid",home,5.92,21,0,1,24.27
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,47.93,55,0,0,50.78
"Generic lemon scented dish soap, standard 500ml squeeze bottle",home,2.77,31,0,1,14.05
"Standard plastic measuring cup set, four piece nested",home,4.16,70,1,1,30.9
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,148.95,66,0,0,149.11
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,19.71,70,0,0,21.69
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,43.3,64,0,1,58.72
"Premium natural rubber yoga mat, non-slip cork surface",fitness,79.06,30,0,0,91.87
"Luxury Egyptian cotton bath towel set, 800gsm hotel quality",home,77.28,58,0,1,100.08
"Designer sunglasses, polarized titanium frame UV protection",accessories,166.39,30,1,1,195.68
"Natural Belgian linen tablecloth, hand-hemmed edges",home,118.67,40,1,1,123.69
"Standard plastic measuring cup set, four piece nested",home,5.6,36,1,1,15.14
"Basic latex exercise band, light resistance single band",fitness,4.84,36,1,1,25.12
"Generic snap-on phone case, standard universal fit clear",electronics,7.38,23,0,0,7.66
"Organic cold pressed green juice, turmeric ginger daily blend",food,11.48,19,0,1,25.37
"Pre-sliced white sandwich bread, standard enriched loaf",food,2.36,25,1,0,5.22
"Luxury hand-poured soy candle, wild fig and cassis scent",home,53.1,23,0,0,60.61
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,2.19,55,0,1,9.5
"Standard plastic measuring cup set, four piece nested",home,4.11,41,1,1,10.55
"Disposable white paper cups, standard 8oz pack of 50",home,4.23,27,0,0,1.69
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,2.03,32,0,1,26.44
"Organic cold pressed green juice, turmeric ginger daily blend",food,14.15,43,0,1,32.06
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,145.16,20,0,0,140.55
"Estate bottled extra virgin olive oil, cold extracted Tuscan blend",food,23.75,34,0,1,32.96
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,39.23,26,1,1,48.27
"Artisan sourdough loaf, stone baked with ancient grain flour",food,8.89,40,0,1,17.72
"Artisan raw wildflower honey collection, three regional varieties",food,42.66,65,0,1,55.31
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,57.2,21,1,1,73.23
"Designer sunglasses, polarized titanium frame UV protection",accessories,205.78,62,0,0,198.87
"Estate bottled extra virgin olive oil, cold extracted Tuscan blend",food,31.25,62,0,1,37.13
"Premium leather wallet, handcrafted Italian design with gold stitching",accessories,107.26,57,0,1,99.22
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,31.7,41,1,1,47.63
"Pre-sliced white sandwich bread, standard enriched loaf",food,2.16,33,0,0,9.39
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,72.65,27,0,0,84.04
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,64.34,66,0,0,68.77
"Standard plastic clothes hangers, adult size pack of 10",home,4.51,70,1,1,12.84
"Clear stackable plastic storage bin, medium size with lid",home,8.75,26,1,0,13.0
"Disposable white paper cups, standard 8oz pack of 50",home,4.43,22,0,0,1
"Artisan raw wildflower honey collection, three regional varieties",food,33.1,60,0,0,41.71
"Artisan raw wildflower honey collection, three regional varieties",food,43.08,52,0,1,56.75
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,5.61,36,0,1,19.55
"Standard aluminum foil roll, 30 feet household grade",home,3.62,27,1,1,19.95
"Natural Belgian linen tablecloth, hand-hemmed edges",home,116.29,25,0,0,131.54
"Soft two-ply facial tissues, standard box of 160 sheets",home,3.39,64,0,1,10.88
"White unprinted paper napkins, two ply bulk pack of 200",home,3.52,31,1,1,15.13
"Premium natural rubber yoga mat, non-slip cork surface",fitness,79.24,69,0,0,82.56
"Basic white cotton washcloth, standard size single pack",home,1.89,60,0,1,13.59
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,180.89,53,0,1,209.28
"Luxury hand-poured soy candle, wild fig and cassis scent",home,66.31,43,0,0,70.51
"Artisan smoked sea salt collection, applewood and hickory varieties",food,28.07,54,0,0,35.94
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,34.2,41,1,0,39.14
"Basic latex exercise band, light resistance single band",fitness,5.17,38,0,1,19.68
"Pre-sliced white sandwich bread, standard enriched loaf",food,2.06,30,0,1,4.15
"Artisan smoked sea salt collection, applewood and hickory varieties",food,20.25,28,0,0,13.92
"Basic foam sole flip flops, solid color unisex design",clothing,3.73,24,1,0,1
"Estate bottled extra virgin olive oil, cold extracted Tuscan blend",food,24.74,41,0,0,30.61
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,32.13,21,1,0,37.89
"Plain polyester ankle socks, value multipack of six pairs",clothing,5.99,35,0,1,18.48
"Artisan smoked sea salt collection, applewood and hickory varieties",food,28.03,53,1,1,46.96
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,52.44,19,1,1,72.19
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,37.99,56,1,1,54.44
"Natural Belgian linen tablecloth, hand-hemmed edges",home,109.73,62,1,1,127.47
"Clear plastic food storage container set, snap lid microwave safe",home,6.9,21,1,1,29.72
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,2.31,51,1,1,21.83
"Artisan smoked sea salt collection, applewood and hickory varieties",food,31.12,55,0,0,33.27
"Standard aluminum foil roll, 30 feet household grade",home,2.85,30,1,1,16.88
"Estate bottled extra virgin olive oil, cold extracted Tuscan blend",food,24.01,34,0,0,32.84
"Disposable white paper cups, standard 8oz pack of 50",home,5.03,45,1,1,19.64
"Basic latex exercise band, light resistance single band",fitness,4.37,22,1,0,4.18
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,74.58,56,0,0,83.38
"Hand blown borosilicate glass vase, contemporary geometric design",home,99.98,44,0,0,120.29
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,10.38,49,1,1,26.85
"Organic single origin Ethiopian coffee beans, light roast notes of blueberry",food,21.26,20,0,1,33.12
"Standard plastic measuring cup set, four piece nested",home,5.39,35,0,1,22.58
"Mulberry silk padded sleep mask, adjustable elastic headband",accessories,28.93,51,1,1,45.91
"Handwoven sustainable rattan storage basket, fair trade certified",home,44.28,62,1,0,48.84
"Natural Belgian linen tablecloth, hand-hemmed edges",home,101.37,41,1,0,105.76
"Store brand orange juice from concentrate, standard carton",food,3.23,18,1,1,23.29
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,31.92,44,0,0,39.9
"Clear stackable plastic storage bin, medium size with lid",home,8.77,48,0,1,21.43
"Generic alkaline AA batteries, standard pack of eight",electronics,5.75,47,1,1,21.74
"Standard plastic clothes hangers, adult size pack of 10",home,4.56,69,1,1,16.54
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,29.36,58,1,1,49.15
"White unprinted paper napkins, two ply bulk pack of 200",home,4.88,54,0,0,14.81
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,225.54,41,0,1,228.8
"Clear plastic food storage container set, snap lid microwave safe",home,7.32,54,0,1,24.8
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,4.82,42,1,1,22.94
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,5.06,24,1,1,22.01
"Generic instant coffee, standard freeze-dried blend 200g jar",food,5.56,60,1,1,30.16
"Clear plastic shower curtain liner, standard size with rings",home,6.16,64,0,1,29.55
"Handcrafted solid walnut end-grain cutting board, food safe oil",home,100.56,68,0,0,92.28
"Biodegradable bamboo toothbrush set, charcoal infused soft bristles",accessories,12.42,55,1,1,27.5
"High-end noise cancelling headphones, studio quality 40hr battery",electronics,320.93,21,0,1,317.13
"Clear plastic shower curtain liner, standard size with rings",home,6.77,37,0,1,15.53
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,208.83,50,1,0,202.83
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,64.99,65,0,1,77.56
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,12.25,32,0,1,16.15
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,42.0,21,1,0,37.02
"Generic alkaline AA batteries, standard pack of eight",electronics,4.2,44,1,1,13.04
"Plain polyester ankle socks, value multipack of six pairs",clothing,7.43,28,0,1,25.39
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,4.16,44,0,0,5.78
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,24.12,52,1,0,25.17
"Basic foam sole flip flops, solid color unisex design",clothing,3.82,44,1,1,22.43
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,77.89,63,1,1,96.68
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,26.12,22,0,0,19.06
"Handwoven sustainable rattan storage basket, fair trade certified",home,42.28,61,0,0,49.27
"Generic drawstring tall kitchen trash bags, 30 count roll",home,5.61,70,0,1,16.37
"Handwoven sustainable rattan storage basket, fair trade certified",home,50.66,23,1,1,58.82
"Generic alkaline AA batteries, standard pack of eight",electronics,5.41,59,1,1,21.75
"Soft two-ply facial tissues, standard box of 160 sheets",home,2.74,24,1,0,3.17
"Standard aluminum foil roll, 30 feet household grade",home,3.0,22,1,1,5.62
"High-end noise cancelling headphones, studio quality 40hr battery",electronics,335.23,47,0,0,329.46
"Premium natural rubber yoga mat, non-slip cork surface",fitness,84.03,55,0,0,90.67
"Unscented white tea light candles, paraffin bulk pack of 20",home,2.58,51,0,1,13.6
"Designer sunglasses, polarized titanium frame UV protection",accessories,202.71,57,1,1,221.66
"Plain polyester ankle socks, value multipack of six pairs",clothing,7.06,33,1,1,22.01
"Clear plastic food storage container set, snap lid microwave safe",home,8.89,38,1,0,14.82
"Basic white cotton washcloth, standard size single pack",home,1.92,59,0,0,1.33
"Basic white cotton washcloth, standard size single pack",home,2.37,64,1,1,20.08
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,2.6,70,1,1,23.9
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,76.65,70,0,1,88.02
"Generic alkaline AA batteries, standard pack of eight",electronics,5.04,41,1,1,26.72
"Estate bottled extra virgin olive oil, cold extracted Tuscan blend",food,26.87,52,0,1,45.81
"White unprinted paper napkins, two ply bulk pack of 200",home,3.27,62,1,0,8.17
"Standard plastic clothes hangers, adult size pack of 10",home,3.49,27,0,1,17.08
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,59.49,53,0,0,65.7
"Organic single origin Ethiopian coffee beans, light roast notes of blueberry",food,24.01,57,0,1,43.29
"Store brand orange juice from concentrate, standard carton",food,2.94,32,1,1,9.54
"Hand blown borosilicate glass vase, contemporary geometric design",home,94.62,68,0,0,113.28
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,55.66,52,1,1,66.0
"Pre-sliced white sandwich bread, standard enriched loaf",food,1.91,29,1,1,15.55
"High-end noise cancelling headphones, studio quality 40hr battery",electronics,361.45,20,0,1,336.9
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,55.29,24,1,1,63.3
"Artisan sourdough loaf, stone baked with ancient grain flour",food,10.79,67,0,1,29.96
"Multi-color kitchen sponge pack, dual-sided pack of six",home,2.62,64,1,1,13.09
"Pre-sliced white sandwich bread, standard enriched loaf",food,2.35,47,0,1,10.88
"Basic latex exercise band, light resistance single band",fitness,5.29,26,0,1,16.64
"Organic single origin Ethiopian coffee beans, light roast notes of blueberry",food,24.28,52,1,0,24.94
"Budget wired earbuds, basic stereo sound with inline mic",electronics,8.21,26,0,1,20.34
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,12.38,47,1,1,35.64
"Premium natural rubber yoga mat, non-slip cork surface",fitness,92.11,50,1,0,90.86
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,17.01,21,1,1,31.3
"Clear plastic food storage container set, snap lid microwave safe",home,6.56,63,1,0,17.82
"Clear plastic food storage container set, snap lid microwave safe",home,6.45,59,1,1,18.78
"Generic alkaline AA batteries, standard pack of eight",electronics,6.13,22,1,1,21.66
"Generic lemon scented dish soap, standard 500ml squeeze bottle",home,3.38,29,1,0,9.22
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,59.08,54,0,0,76.87
"White unprinted paper napkins, two ply bulk pack of 200",home,4.86,61,1,0,22.8
"Organic single origin Ethiopian coffee beans, light roast notes of blueberry",food,24.76,46,1,0,37.33
"Artisan sourdough loaf, stone baked with ancient grain flour",food,10.12,18,1,1,23.02
"Basic heat resistant silicone spatula, single piece design",home,4.35,33,0,1,19.0
"High-end noise cancelling headphones, studio quality 40hr battery",electronics,316.21,61,0,0,320.01
"Standard aluminum foil roll, 30 feet household grade",home,2.65,40,1,1,23.42
"Basic blue ink ballpoint pens, medium tip pack of 12",accessories,3.0,42,1,1,21.67
"Organic cold pressed green juice, turmeric ginger daily blend",food,12.83,35,0,0,9.86
"Artisan bronze-die extruded pasta variety, imported Italian semolina",food,23.39,37,1,0,30.01
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,13.72,41,0,1,29.06
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,53.1,59,0,1,63.13
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,63.29,36,0,0,67.6
"Standard aluminum foil roll, 30 feet household grade",home,3.23,30,0,1,11.92
"White unprinted paper napkins, two ply bulk pack of 200",home,3.99,21,1,0,1
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,59.89,64,1,0,82.88
"Handwoven sustainable rattan storage basket, fair trade certified",home,51.41,40,1,0,59.15
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,48.01,58,0,0,51.07
"Generic snap-on phone case, standard universal fit clear",electronics,4.89,55,0,1,15.99
"Handwoven sustainable rattan storage basket, fair trade certified",home,44.96,52,0,0,45.17
"Standard plastic measuring cup set, four piece nested",home,5.23,18,0,1,16.41
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,2.02,25,0,1,15.08
"Plain polyester ankle socks, value multipack of six pairs",clothing,6.17,30,0,0,4.14
"Designer sunglasses, polarized titanium frame UV protection",accessories,239.66,42,1,1,257.8
"Designer sunglasses, polarized titanium frame UV protection",accessories,162.73,28,1,0,159.07
"Store brand orange juice from concentrate, standard carton",food,2.68,67,0,0,18.86
"Luxury Egyptian cotton bath towel set, 800gsm hotel quality",home,76.12,64,1,0,76.23
"Hand blown borosilicate glass vase, contemporary geometric design",home,87.53,57,1,1,114.93
"Generic instant coffee, standard freeze-dried blend 200g jar",food,4.96,68,0,1,7.43
"Organic cold pressed green juice, turmeric ginger daily blend",food,13.72,66,1,1,38.97
"Clear stackable plastic storage bin, medium size with lid",home,8.25,27,1,1,14.3
"Artisan raw wildflower honey collection, three regional varieties",food,38.47,30,1,1,53.67
"Clear plastic shower curtain liner, standard size with rings",home,6.82,28,1,1,22.27
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,39.05,43,0,1,44.7
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,57.63,49,1,1,78.21
"Artisan raw wildflower honey collection, three regional varieties",food,44.73,38,0,0,47.63
"Basic white cotton washcloth, standard size single pack",home,2.31,50,0,0,3.7
"Designer sunglasses, polarized titanium frame UV protection",accessories,258.98,43,1,1,283.01
"Handcrafted solid walnut end-grain cutting board, food safe oil",home,76.81,29,0,0,86.86
"Generic alkaline AA batteries, standard pack of eight",electronics,5.42,34,0,1,16.87
"Generic snap-on phone case, standard universal fit clear",electronics,5.88,38,1,1,26.95
"Premium natural rubber yoga mat, non-slip cork surface",fitness,77.2,34,0,1,87.77
"Disposable white paper cups, standard 8oz pack of 50",home,3.73,38,0,1,22.5
"Premium vacuum insulated stainless steel bottle, keeps cold 24hr",accessories,41.84,63,1,1,60.51
"Milk chocolate candy bar, standard size individually wrapped",food,2.16,31,0,1,15.32
"Fine Italian merino wool crew neck sweater, sustainable dye",clothing,157.79,29,1,0,175.44
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,57.13,40,1,1,70.99
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,47.38,33,1,0,57.86
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,4.55,51,1,1,27.63
"Luxury Egyptian cotton bath towel set, 800gsm hotel quality",home,89.9,31,1,0,86.07
"Premium natural rubber yoga mat, non-slip cork surface",fitness,60.38,19,1,1,77.73
"Generic lemon scented dish soap, standard 500ml squeeze bottle",home,3.27,37,0,1,10.42
"Generic alkaline AA batteries, standard pack of eight",electronics,4.52,30,0,1,16.15
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,14.07,23,1,1,21.75
"Premium leather wallet, handcrafted Italian design with gold stitching",accessories,90.71,44,0,1,94.48
"Basic white cotton washcloth, standard size single pack",home,1.89,23,0,0,1
"Artisan sourdough loaf, stone baked with ancient grain flour",food,9.54,24,0,1,24.61
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,2.34,68,0,0,12.83
"Generic instant coffee, standard freeze-dried blend 200g jar",food,5.18,40,0,0,3.56
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,46.28,44,0,0,51.73
"Multi-color kitchen sponge pack, dual-sided pack of six",home,2.71,54,1,1,20.06
"Natural Belgian linen tablecloth, hand-hemmed edges",home,139.56,28,0,1,127.61
"Ceremonial grade Japanese matcha powder, stone ground Uji region",food,45.66,66,1,1,64.39
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,2.32,61,0,1,17.84
"Standard plastic measuring cup set, four piece nested",home,5.12,51,0,0,20.84
"Basic latex exercise band, light resistance single band",fitness,4.88,19,1,0,1.89
"Generic snap-on phone case, standard universal fit clear",electronics,5.61,64,1,1,19.75
"Simple BPA-free plastic water bottle, twist cap 500ml",accessories,5.29,52,0,1,14.65
"White unprinted paper napkins, two ply bulk pack of 200",home,4.88,68,1,1,23.15
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,1.84,33,1,1,17.8
"Clear plastic shower curtain liner, standard size with rings",home,7.67,21,0,1,18.92
"Soft two-ply facial tissues, standard box of 160 sheets",home,3.55,24,1,1,17.97
"Clear plastic shower curtain liner, standard size with rings",home,5.28,31,1,1,22.39
"Basic foam sole flip flops, solid color unisex design",clothing,4.51,39,0,1,21.7
"Soft two-ply facial tissues, standard box of 160 sheets",home,2.47,24,1,0,2.15
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,36.01,20,1,0,32.43
"Handmade pure beeswax candles, lavender and eucalyptus infused",home,33.98,66,1,1,48.34
"Basic white cotton washcloth, standard size single pack",home,2.22,34,1,1,5.84
"Basic latex exercise band, light resistance single band",fitness,6.17,67,1,1,25.14
"Designer sunglasses, polarized titanium frame UV protection",accessories,220.7,46,1,1,253.54
"Basic college ruled spiral notebook, 70 sheets perforated pages",accessories,2.47,59,0,1,14.31
"Standard aluminum foil roll, 30 feet household grade",home,3.28,30,1,0,6.99
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,76.85,26,1,0,73.83
"Multi-color kitchen sponge pack, dual-sided pack of six",home,3.63,36,0,1,14.13
"Basic latex exercise band, light resistance single band",fitness,5.1,43,1,1,17.83
"Store brand orange juice from concentrate, standard carton",food,3.64,52,0,1,15.51
"Clear stackable plastic storage bin, medium size with lid",home,8.9,50,1,1,13.3
"Designer sunglasses, polarized titanium frame UV protection",accessories,252.56,28,0,1,262.94
"Luxury hand-poured soy candle, wild fig and cassis scent",home,50.48,67,0,1,62.79
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,37.61,54,0,0,44.36
"White unprinted paper napkins, two ply bulk pack of 200",home,3.2,64,1,1,15.37
"Premium natural rubber yoga mat, non-slip cork surface",fitness,94.3,21,0,0,93.92
"Designer sunglasses, polarized titanium frame UV protection",accessories,174.15,42,0,0,162.84
"Basic blue ink ballpoint pens, medium tip pack of 12",accessories,2.47,69,0,1,25.45
"Disposable white paper cups, standard 8oz pack of 50",home,4.38,29,1,1,22.83
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,1.87,61,0,1,17.1
"Generic instant coffee, standard freeze-dried blend 200g jar",food,5.8,26,1,1,16.85
"Premium Qi wireless charger, vegan leather surface fast charge",electronics,68.64,51,0,1,72.82
"Luxury silk scarf, limited edition botanical pattern by artisan designer",accessories,100.51,52,1,0,100.05
"Clear plastic food storage container set, snap lid microwave safe",home,8.07,59,0,0,19.45
"Unscented white tea light candles, paraffin bulk pack of 20",home,2.58,51,0,0,1.91
"Clear stackable plastic storage bin, medium size with lid",home,5.77,38,1,1,23.45
"Store brand orange juice from concentrate, standard carton",food,2.58,26,0,1,18.54
"Handcrafted solid walnut end-grain cutting board, food safe oil",home,84.65,60,0,0,79.54
"Hand blown borosilicate glass vase, contemporary geometric design",home,100.62,39,0,0,103.07
"Heritage pre-seasoned cast iron skillet, triple-coated surface",home,90.71,44,1,0,101.37
"Standard aluminum foil roll, 30 feet household grade",home,3.08,25,0,1,19.24
"Unscented white tea light candles, paraffin bulk pack of 20",home,3.39,57,1,0,12.67
"Generic fluoride mint toothpaste, standard 150ml tube",accessories,1.74,63,1,1,12.3
"Handcrafted solid walnut end-grain cutting board, food safe oil",home,80.87,18,1,0,84.85
"Clear plastic shower curtain liner, standard size with rings",home,6.84,29,0,1,20.18
"High-end noise cancelling headphones, studio quality 40hr battery",electronics,256.41,21,0,1,260.57
"Basic cotton crew neck t-shirt, everyday casual wear unisex",clothing,10.78,51,1,0,19.04
"Premium ultrasonic essential oil diffuser, sustainable bamboo housing",home,52.33,41,1,0,53.54
"Disposable white paper cups, standard 8oz pack of 50",home,4.67,56,1,1,16.29
"Bespoke leather journal, hand stitched with archival cotton paper",accessories,53.61,55,0,0,62.74
"Hand blown borosilicate glass vase, contemporary geometric design",home,105.5,53,0,1,107.2
"Handcrafted solid walnut end-grain cutting board, food safe oil",home,120.42,39,1,1,151.68
"Artisan dark chocolate box, single origin Ecuadorian cacao 72%",food,58.45,43,1,0,71.75
